#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm
8463.613	10011	8465.398	10017	8471.163	10024	8499.343	10008	8495.652	10009	8501.429	10017
8493.876	10009	8495.662	10007	8501.398	10017	8529.622	10004	8525.845	10029	8531.647	10022
8524.126	10012	8525.942	10003	8531.641	10019	8559.87	10012	8556.053	10024	8561.854	10024
8554.384	10014	8556.199	10013	8561.851	10028	8590.106	10017	8586.29	10017	8592.071	10023
8584.609	10016	8586.451	10006	8592.138	10004	8620.356	10012	8616.524	10018	8622.296	10019
8614.863	10005	8616.754	9999.3	8622.422	9995.8	8650.619	10008	8646.736	10027	8652.494	10028
8645.143	10004	8647.002	9999.3	8652.688	10008	8680.876	10012	8676.96	10019	8682.685	10026
8675.4	10013	8677.303	9993.9	8682.938	10012	8711.132	10014	8707.196	10017	8712.894	10024
8705.639	10016	8707.583	10003	8713.233	9997.3	8741.415	10002	8737.421	10019	8743.113	10022
8735.895	10014	8737.882	9994.2	8743.542	9992.5	8771.702	10000	8767.632	10028	8773.308	10029
8766.159	10007	8768.2	9994.1	8773.822	10002	8801.953	10011	8797.864	10019	8803.505	10035
8796.406	10013	8798.504	9995.8	8804.078	10006	8832.189	10017	8828.122	10013	8833.712	10024
8826.639	10018	8828.777	10009	8834.366	10004	8862.429	10014	8858.358	10017	8863.976	10008
8856.904	10007	8859.057	10003	8864.599	10004	8892.694	10007	8888.552	10028	8894.233	10014
8887.154	10012	8889.355	9996.5	8894.911	9985.5	8922.951	10013	8918.757	10024	8924.439	10024
8917.402	10013	8919.637	10001	8925.184	10009	8953.194	10019	8948.99	10018	8954.676	10011
8947.629	10022	8949.917	10004	8955.432	10013	8983.448	10006	8979.199	10024	8984.943	10007
8977.887	10013	8980.152	10004	8985.705	10009	9013.721	10009	9009.392	10029	9015.2	10014
9008.175	10000	9010.479	9980.5	9015.945	10011	9043.96	10014	9039.597	10021	9045.418	10022
9038.411	10017	9040.76	10002	9046.17	10015	9074.192	10018	9069.848	10011	9075.691	10009
9068.646	10018	9071.017	10013	9076.412	10019	9104.449	10013	9100.087	10011	9105.971	10002
9098.918	10009	9101.272	10009	9106.646	10018	9134.737	10004	9130.294	10024	9136.237	10008
9129.185	10007	9131.539	10006	9136.888	10019	9164.993	10005	9160.519	10019	9166.486	10013
9159.454	10006	9161.777	10011	9167.095	10021	9195.242	10013	9190.736	10022	9196.749	10009
9189.693	10011	9192.002	10019	9197.337	10019	9225.494	10013	9220.971	10017	9227.038	10000
9219.96	10006	9222.253	10012	9227.574	10018	9255.745	10011	9251.164	10029	9257.295	10014
9250.228	10007	9252.552	9990.7	9257.781	10024	9286.011	10008	9281.366	10028	9287.497	10014
9280.516	10000	9282.833	10003	9287.994	10028	9316.237	10022	9311.601	10017	9317.815	9993.3
9310.773	10014	9313.106	10008	9318.2	10027	9346.502	10008	9341.828	10023	9348.089	10009
9341.053	10003	9343.389	10001	9348.361	10027	9376.755	10005	9372.053	10019	9378.329	10014
9371.356	9999	9373.672	10002	9378.601	10014	9407.014	10009	9402.287	10019	9408.567	10017
9401.635	10004	9403.939	10006	9408.78	10035	9437.239	10019	9432.565	10003	9438.806	10011
9431.908	10009	9434.18	10019	9439.007	10023	9467.511	10009	9462.847	10003	9469.08	10009
9462.186	10004	9464.42	10014	9469.216	10021	9497.8	9999.3	9493.081	10018	9499.313	10018
9492.421	10004	9494.618	10014	9499.409	10029	9528.065	10008	9523.329	10013	9529.522	10024
9522.723	9993.9	9524.907	10003	9529.572	10040	9558.3	10011	9553.601	10008	9559.758	10011
9552.962	10014	9555.114	10024	9559.766	10029	9588.565	10007	9583.858	10014	9590.007	10012
9583.228	10007	9585.349	10017	9589.954	10032	9618.853	10004	9614.093	10018	9620.232	10016
9613.507	10003	9615.605	10014	9620.142	10034	9649.126	10008	9644.365	10009	9650.445	10028
9643.8	9998	9645.893	10004	9650.303	10040	9679.366	10014	9674.632	10007	9680.67	10023
9674.039	10014	9676.131	10014	9680.497	10029	9709.654	10004	9704.886	10006	9710.91	10014
9704.322	10001	9706.387	10009	9710.684	10034	9739.919	10007	9735.121	10017	9741.117	10021
9734.641	9992.8	9736.668	10003	9740.859	10032	9770.191	10009	9765.359	10011	9771.328	10029
9764.925	10001	9766.946	10004	9771.023	10039	9800.425	10018	9795.648	10004	9801.554	10023
9795.204	10004	9797.202	10005	9801.241	10023	9830.683	10013	9825.896	10013	9831.811	10014
9825.488	10003	9827.48	10004	9831.449	10021	9860.949	10007	9856.133	10011	9862.005	10029
9855.77	9996	9857.762	10002	9861.641	10029	9891.201	10011	9886.398	10007	9892.202	10035
9886.054	10002	9888.044	9996.3	9891.805	10039	9921.436	10017	9916.671	10009	9922.396	10029
9916.316	10009	9918.31	10008	9922.002	10034	9951.686	10012	9946.909	10014	9952.6	10027
9946.582	10008	9948.599	10004	9952.223	10016	9981.952	10007	9977.143	10018	9982.795	10029
9976.86	10000	9978.916	9993.4	9982.42	10034						
