#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm
1997.017	10096	2002.354	10059	2008.57	10043	2018.069	9983.9	2019.416	9908.6	2028.525	9854
2027.028	10091	2032.469	10059	2038.703	10050	2048.37	9996.6	2049.947	9923.6	2059.261	9851.6
2057.067	10081	2062.574	10065	2068.885	10039	2078.684	9989.1	2080.43	9933.7	2089.97	9858.9
2087.155	10065	2092.691	10055	2099.044	10043	2109.065	9971.3	2110.884	9943	2120.64	9877
2117.275	10059	2122.831	10048	2129.187	10048	2139.429	9977.9	2141.348	9938.4	2151.278	9886.3
2147.388	10058	2152.979	10048	2159.314	10054	2169.739	9992.9	2171.82	9941.3	2181.931	9881.8
2177.507	10055	2183.114	10055	2189.455	10048	2200.051	9992.9	2202.256	9948.7	2212.584	9882.4
2207.672	10043	2213.26	10045	2219.612	10042	2230.367	9988.2	2232.631	9968.9	2243.184	9890.4
2237.86	10026	2243.455	10034	2249.778	10044	2260.727	9973.9	2262.989	9970.4	2273.713	9918
2268.053	10029	2273.63	10037	2279.904	10053	2291.056	9984.1	2293.35	9973.1	2304.252	9917.7
2298.246	10026	2303.797	10043	2310.066	10036	2321.403	9977.3	2323.696	9979	2334.79	9910.3
2328.479	10019	2333.969	10038	2340.247	10039	2351.75	9979	2354.021	9988.1	2365.308	9927
2358.733	10006	2364.162	10029	2370.414	10044	2382.065	9985.8	2384.371	9982.8	2395.77	9942
2388.997	10008	2394.359	10034	2400.546	10050	2412.345	10002	2414.718	9977.6	2426.221	9940.1
2419.27	10009	2424.539	10039	2430.706	10042	2442.664	9992.7	2445.05	9984.1	2456.67	9940.8
2449.555	9996.4	2454.731	10029	2460.863	10043	2472.964	9990.8	2475.351	9994.2	2487.09	9950.8
2479.856	9994.2	2484.934	10027	2490.983	10059	2503.261	9997.7	2505.651	9996.6	2517.484	9968.9
2510.189	9988	2515.14	10027	2521.088	10065	2533.499	10011	2535.985	9987.2	2547.839	9977.5
2540.522	9991.4	2545.337	10034	2551.189	10063	2563.798	9994.2	2566.285	9994.2	2578.2	9973.9
2570.851	9984	2575.549	10028	2581.308	10055	2594.107	9994.1	2596.548	10008	2608.58	9972.6
2601.247	9967.2	2605.79	10019	2611.41	10060	2624.392	9996.4	2626.835	10000	2638.927	9979
2631.603	9976.7	2635.998	10021	2641.507	10064	2654.665	10009	2657.1	10007	2669.282	9977.1
2661.922	9993.5	2666.19	10029	2671.608	10063	2684.946	10003	2687.348	10013	2699.626	9975.4
2692.246	9986.6	2696.394	10021	2701.738	10047	2715.262	9987.8	2717.59	10019	2729.974	9984.1
2722.574	9986.6	2726.618	10015	2731.872	10056	2745.555	9999.3	2747.845	10005	2760.269	9997
2752.875	9994.1	2756.822	10021	2761.976	10065	2775.82	10008	2778.149	9998.5	2790.521	9997
2783.157	10002	2787.013	10029	2792.102	10054	2806.109	10004	2808.43	10003	2820.865	9979
2813.468	9991.8	2817.216	10028	2822.245	10047	2836.421	9989	2838.669	10014	2851.15	10002
2843.783	9991.7	2847.439	10019	2852.394	10050	2866.764	9979	2868.931	10008	2881.423	10005
2874.065	10002	2877.644	10024	2882.511	10055	2897.097	9989.1	2899.199	10001	2911.678	10006
2904.333	10001	2907.836	10029	2912.641	10047	2927.431	9988.7	2929.456	10013	2941.945	10007
2934.614	10002	2938.042	10024	2942.786	10048	2957.758	9984.1	2959.681	10019	2972.204	10013
2964.918	9998.5	2968.266	10019	2972.935	10050	2988.101	9981.3	2989.908	10023	3002.414	10024
2995.197	10004	2998.501	10019	3003.064	10047	3018.414	9985.6	3020.196	10000	3032.67	10014
3025.454	10012	3028.68	10035	3033.229	10044	3048.755	9981.5	3050.432	10018	3062.929	10014
3055.742	10000	3058.885	10021	3063.41	10039	3079.095	9975.8	3080.641	10024	3093.171	10016
3086.008	10007	3089.106	10022	3093.587	10037	3109.424	9980.6	3110.865	10016	3123.39	10022
3116.262	10006	3119.317	10028	3123.769	10036	3139.72	9997.1	3141.106	10014	3153.61	10016
3146.51	10013	3149.511	10029	3153.941	10039	3170.038	9992.1	3171.329	10019	3183.845	10018
3176.782	10009	3179.701	10032	3184.133	10026	3200.378	9976	3201.527	10033	3214.063	10022
3207.045	10009	3209.927	10022	3214.32	10033	3230.728	9983.3	3231.74	10028	3244.257	10029
3237.309	10009	3240.148	10022	3244.484	10036	3261.028	9996.6	3261.983	10018	3274.462	10024
3267.537	10023	3270.341	10029	3274.672	10034	3291.342	9989.1	3292.224	10019	3304.725	10009
3297.776	10011	3300.544	10027	3304.863	10032	3321.687	9979	3322.417	10026	3334.95	10016
3328.016	10014	3330.764	10022	3335.05	10033	3351.997	9993.6	3352.65	10018	3365.142	10026
3358.257	10016	3360.987	10022	3365.23	10039	3382.279	10002	3382.923	10009	3395.369	10023
3388.447	10026	3391.199	10028	3395.425	10035	3412.598	9995.5	3413.148	10019	3425.61	10019
3418.642	10029	3421.406	10027	3425.619	10029	3442.931	9986.7	3443.356	10024	3455.822	10028
3448.853	10029	3451.615	10027	3455.798	10035	3473.224	9997.5	3473.58	10019	3486.048	10023
3479.032	10035	3481.808	10029	3485.98	10038	3503.472	10013	3503.808	10022	3516.28	10019
3509.197	10043	3511.986	10035	3516.162	10034	3533.76	10004	3534.032	10019	3546.527	10013
3539.361	10038	3542.191	10024	3546.365	10028	3563.995	10004	3564.214	10038	3576.745	10022
3569.557	10035	3572.424	10018	3576.552	10034	3594.298	9998	3594.422	10024	3606.94	10029
3599.716	10037	3602.631	10024	3606.716	10036	3624.52	10016	3624.695	10009	3637.142	10029
3629.867	10048	3632.824	10029	3636.903	10034	3654.755	10011	3654.952	10014	3667.38	10011
3660.013	10041	3663.041	10022	3667.116	10028	3685.02	10007	3685.169	10022	3697.638	10013
3690.177	10040	3693.259	10022	3697.328	10029	3715.273	10006	3715.402	10018	3727.856	10022
3720.338	10037	3723.466	10024	3727.515	10033	3745.506	10018	3745.65	10012	3758.114	10014
