#1k5	rpm	#t2k5	rpm	#t3k0	rpm	t3k33	rpm	t3k5	rpm	t3k66	rpm	t4k0	rpm	t4k33	rpm	t4k5	rpm	t4k66	rpm	t5k0	rpm	t5k33	rpm	t5k5	rpm	t5k66	rpm	t6k0	rpm	t6k5	rpm
8034.754	9594.5	7552.148	9901.3	7521.1	9842.7	7490.578	9829.4	7450.564	9851.7	7435.377	9861.5	7407.66	9821.6	7390.128	9809.9	7377.09	9845.6	7357.67	9861.6	7349.243	9836.3	7329.666	9866.5	7312.35	9862.1	7317.096	9858.9	7252.689	9973.9	7259.603	9928.1
8066.299	9587.1	7582.741	9898	7551.891	9833	7521.36	9833.2	7481.276	9854	7466.062	9868.8	7438.456	9827.9	7420.957	9817.1	7407.8	9850.5	7388.391	9852.1	7379.97	9848.8	7360.33	9865.8	7343.05	9863	7347.872	9838.1	7283.06	9967.8	7290.134	9916.9
8097.843	9592.4	7613.299	9905.9	7582.673	9833.6	7552.135	9839.1	7511.966	9862.1	7496.696	9868.8	7469.258	9821.1	7451.795	9818.8	7438.544	9849.1	7419.116	9852.4	7410.681	9854	7391.029	9862.9	7373.766	9857.9	7378.599	9845.5	7313.402	9976.6	7320.661	9913.6
8129.36	9596	7643.857	9900.5	7613.432	9835.8	7582.916	9832.9	7542.675	9851.2	7527.42	9846.1	7500.072	9823	7482.607	9823	7469.285	9844.2	7449.816	9862.5	7441.417	9846.9	7421.726	9858.9	7404.478	9854	7409.311	9854	7343.732	9981.8	7351.16	9923.6
8160.891	9591.3	7674.432	9898.7	7644.192	9843.3	7613.717	9824.5	7573.411	9847.8	7558.116	9858.9	7530.9	9817.5	7513.455	9809.9	7500.043	9839.2	7480.526	9854	7472.162	9848	7452.408	9863.8	7435.184	9857.6	7440.048	9847.6	7374.073	9976.6	7381.643	9928.6
8192.441	9589.8	7704.99	9900.4	7674.982	9833	7644.538	9824.4	7604.125	9858.3	7588.777	9871.9	7561.702	9824.5	7544.271	9816	7530.756	9853.1	7511.263	9841.2	7502.899	9848.1	7483.076	9868.8	7465.865	9863.9	7470.79	9844.2	7404.444	9967.1	7412.123	9931.3
8223.976	9593.9	7735.566	9903.7	7705.764	9833.3	7675.311	9833.4	7634.839	9858.9	7619.467	9861.3	7592.499	9827.5	7575.084	9823.6	7561.497	9844.2	7541.991	9849.1	7533.594	9858.9	7513.739	9865.8	7496.56	9855.4	7501.548	9839.2	7434.808	9973.9	7442.603	9925.5
8255.53	9594.2	7766.141	9898.6	7736.522	9836	7706.094	9832.1	7665.545	9856.6	7650.163	9858.9	7623.297	9828.2	7605.899	9816.4	7592.263	9837.8	7572.699	9856.6	7564.325	9852.3	7544.452	9854	7527.268	9856.6	7532.254	9856.4	7465.156	9979	7473.087	9925.4
8287.098	9588.6	7796.682	9898.6	7767.293	9836.8	7736.897	9824.5	7696.273	9849.1	7680.861	9858.6	7654.1	9824.5	7636.73	9817.4	7623.023	9843.6	7603.41	9854	7595.101	9838.1	7575.131	9854	7557.965	9855.4	7563	9847.9	7495.551	9963.4	7503.581	9926.6
8318.661	9585.2	7827.289	9888	7798.066	9834.3	7767.703	9828.7	7726.981	9856.2	7711.545	9868.8	7684.868	9824.5	7667.546	9821.9	7653.764	9840.6	7634.17	9845.5	7625.839	9846.7	7605.827	9855.6	7588.639	9867.3	7593.738	9847.1	7525.941	9955.3	7534.097	9922.4
8350.244	9583.6	7857.833	9908.4	7828.804	9834.3	7798.48	9837.7	7757.671	9863.1	7742.222	9866.9	7715.685	9816.3	7698.331	9826.1	7684.519	9841.6	7664.883	9853.7	7656.55	9851	7636.509	9865.2	7619.333	9855.7	7624.482	9849.1	7556.32	9968.9	7564.611	9918.6
8381.781	9593.2	7888.393	9903.7	7859.586	9832.1	7829.264	9826.2	7788.368	9858.9	7772.918	9858.9	7746.505	9819.5	7729.128	9827.9	7715.276	9835.8	7695.589	9857.6	7687.291	9844.2	7667.205	9858.8	7650.062	9855.3	7655.189	9857	7586.64	9983.3	7595.096	9933.4
8413.333	9589.1	7918.976	9896.8	7890.356	9830.8	7860.079	9822.1	7819.084	9858.6	7803.632	9858.1	7777.317	9823.3	7759.944	9819.4	7746.004	9849.1	7726.315	9845.6	7718.058	9837.1	7697.887	9863.8	7680.777	9858.1	7685.918	9853.6	7616.994	9972.3	7625.594	9923.6
8444.892	9587.4	7949.545	9902	7921.14	9832.3	7890.883	9821.2	7849.79	9857.4	7834.332	9863.1	7808.13	9823.5	7790.781	9818.2	7776.716	9851.2	7757.044	9845.5	7748.8	9844.2	7728.566	9866.1	7711.456	9860.7	7716.646	9849.1	7647.379	9962.6	7656.121	9913.6
8476.445	9593	7980.107	9908.6	7951.909	9831.2	7921.675	9832.9	7880.489	9865.2	7865.042	9850.6	7838.922	9833.3	7821.554	9834.3	7807.452	9847.7	7787.757	9853.9	7779.536	9847.8	7759.264	9863.9	7742.153	9859	7747.358	9851.2	7677.755	9960.7	7686.667	9914.9
8507.966	9598.1	8010.667	9903.7	7982.66	9842.4	7952.462	9829.4	7911.181	9862	7895.782	9844.2	7869.727	9828.5	7852.292	9834.3	7838.206	9841.8	7818.462	9857.1	7810.273	9847.5	7789.96	9859	7772.864	9854	7778.056	9858.9	7708.118	9973.9	7717.162	9920.5
8539.501	9593.7	8041.252	9896.2	8013.428	9837.2	7983.263	9824.5	7941.89	9851.2	7926.488	9844.2	7900.55	9823	7883.108	9816.1	7868.935	9848	7849.189	9848.9	7841.049	9838	7820.674	9858.9	7803.541	9854	7808.754	9863.9	7738.432	9973.9	7747.658	9926
8571.046	9592.3	8071.829	9903.7	8044.22	9834.2	8014.085	9823.5	7972.596	9856.6	7957.24	9841.9	7931.354	9824.5	7913.895	9829.4	7899.655	9852.7	7879.936	9847.7	7871.825	9839.2	7851.344	9867.7	7834.218	9854	7839.446	9861.8	7768.842	9958.8	7778.184	9913.6
8602.58	9594.5	8102.374	9905	8075.012	9832.5	8044.875	9833.1	8003.295	9863.9	7987.986	9848.7	7962.128	9833.7	7944.653	9835.8	7930.401	9847.7	7910.676	9840.8	7902.555	9853.5	7882.034	9861.8	7864.962	9848.5	7870.14	9861.6	7799.205	9973.9	7808.695	9915.6
8634.096	9596.4	8132.942	9902.6	8105.779	9837.5	8075.674	9826.8	8033.972	9867	8018.724	9846.8	7992.911	9832.3	7975.42	9837.5	7961.163	9842	7941.392	9857.3	7933.316	9843.1	7912.764	9852.8	7895.692	9853.4	7900.817	9866.5	7829.538	9984.1	7839.179	9928.4
8665.646	9589.8	8163.51	9903.6	8136.552	9834.3	8106.463	9829	8064.663	9856.1	8049.459	9848.2	8023.713	9824.5	8006.218	9827.3	7991.929	9837.3	7972.104	9854	7964.099	9826.6	7943.493	9855.3	7926.405	9854	7931.517	9863.4	7859.907	9967.9	7869.679	9923.1
8697.2	9592.6	8194.088	9903	8167.359	9827.7	8137.246	9826.5	8095.339	9866.7	8080.172	9850.6	8054.509	9828.3	8036.976	9839.2	8022.64	9854	8002.832	9849.1	7994.872	9834.3	7974.171	9860.6	7957.105	9862.1	7962.226	9851	7890.263	9972	7900.197	9916.4
8728.768	9588.4	8224.65	9908.6	8198.161	9824.5	8168.012	9837.2	8126.023	9868.9	8110.9	9849.1	8085.291	9832.6	8067.715	9841.3	8053.378	9841.2	8033.544	9854	8025.639	9837.5	8004.877	9857.9	7987.817	9853.7	7992.947	9852.6	7920.623	9965.6	7930.711	9918.6
8760.289	9598	8255.205	9906.7	8228.968	9827.7	8198.804	9832.6	8156.706	9863.9	8141.64	9844.2	8116.081	9834	8098.457	9844.2	8084.121	9843.9	8064.235	9861.8	8056.415	9839.2	8035.597	9852.4	8018.545	9849.1	8023.64	9856.1	7950.972	9979	7961.194	9928.6
8791.838	9589.9	8285.774	9901.7	8259.77	9824.5	8229.591	9829.4	8187.355	9863.9	8172.346	9844.2	8146.888	9827.5	8129.212	9836.3	8114.859	9847.4	8094.941	9856.5	8087.184	9836.6	8066.319	9853.3	8049.256	9854	8054.33	9862.1	7981.312	9977.1	7991.709	9923.6
8823.392	9592.6	8316.351	9903.7	8290.586	9816.3	8260.36	9831	8218.061	9856.2	8203.101	9836.1	8177.674	9826	8159.924	9854	8145.556	9858.7	8125.669	9849.1	8117.959	9839.2	8097.014	9856.1	8079.953	9858.6	8085.028	9858.9	8011.676	9973.3	8022.238	9913
8854.941	9589.8	8346.913	9908.6	8321.392	9828.4	8291.121	9842.8	8248.722	9871.6	8233.824	9851.3	8208.446	9834.3	8190.62	9858.9	8176.285	9853.4	8156.381	9850.9	8148.687	9849.1	8127.7	9862.2	8110.665	9854	8115.704	9866.4	8042.04	9973.9	8052.718	9931.1
		8377.473	9903.7	8352.168	9839	8321.887	9837.2	8279.405	9868.4	8264.564	9840.7	8239.238	9833.7	8221.317	9855.5	8207.014	9849.1	8187.063	9863.9	8179.444	9839.2	8158.411	9854	8141.402	9846.8	8146.387	9863.9	8072.351	9988.1	8083.189	9937.5
		8408.048	9898.6	8382.959	9834	8352.679	9832.3	8310.104	9863.9	8295.291	9848.9	8270.035	9827.3	8252.026	9856.5	8237.726	9850.6	8217.759	9858.9	8210.219	9838.5	8189.103	9862	8172.148	9848.5	8177.084	9858.9	8102.695	9970.8	8113.656	9930.2
		8438.601	9907.1	8413.748	9828.6	8383.453	9834.3	8340.77	9865.7	8326.02	9854	8300.82	9826.3	8282.731	9858	8268.427	9862.5	8248.465	9857.2	8240.959	9840.8	8219.786	9868.8	8202.853	9856.9	8207.804	9852.5	8133.053	9971.7	8144.14	9928.6
		8469.138	9912	8444.54	9833.7	8414.189	9847	8371.421	9873.8	8356.741	9852.3	8331.592	9834.3	8313.414	9863.9	8299.125	9858.9	8279.194	9853.9	8271.69	9852.7	8250.419	9868.8	8233.599	9847.5	8238.528	9851.4	8163.402	9979	8174.591	9938.6
		8499.693	9906.9	8475.283	9844.2	8444.965	9837.9	8402.107	9868.2	8387.48	9840.8	8362.379	9829.4	8344.062	9863.9	8329.84	9858.9	8309.89	9855.6	8302.431	9844.2	8281.147	9849.1	8264.342	9844.1	8269.235	9856.5	8193.715	9986.6	8204.998	9953.8
		8530.25	9906.7	8506.051	9831.4	8475.733	9837.7	8432.785	9861	8418.207	9849	8393.191	9822.9	8374.807	9848.2	8360.545	9857.7	8340.598	9856.9	8333.207	9838.2	8311.843	9858.9	8295.082	9840.8	8299.962	9849	8224.061	9974	8235.43	9946.6
		8560.813	9908.6	8536.834	9832.7	8506.484	9842.1	8463.475	9862.6	8448.919	9850.7	8423.995	9824.3	8405.503	9855.8	8391.244	9863.9	8371.328	9853	8363.942	9847.1	8342.523	9863.9	8325.804	9851.8	8330.703	9844.2	8254.44	9968.9	8265.869	9943.7
		8591.342	9910.6	8567.617	9832.3	8537.244	9843.6	8494.125	9870.5	8479.656	9847.3	8454.809	9823.9	8436.153	9873.8	8421.923	9860.5	8402.051	9851.6	8394.666	9851.9	8373.215	9861.7	8356.542	9841.3	8361.434	9848.2	8284.803	9973.9	8296.294	9952.5
		8621.883	9911.8	8598.383	9838	8568.021	9837.4	8524.803	9866.5	8510.397	9844.2	8485.611	9821	8466.843	9862.8	8452.635	9854	8432.743	9856.1	8425.417	9842.1	8403.945	9853.7	8387.295	9842	8392.147	9854	8315.159	9973	8326.695	9956.8
		8652.451	9901.7	8629.157	9834.3	8598.808	9829.4	8555.483	9860.5	8541.154	9839.2	8516.445	9814.3	8497.528	9868.1	8483.365	9853.7	8463.455	9854	8456.192	9839.2	8434.66	9858	8418.037	9844.2	8422.907	9842.6	8345.53	9967.4	8357.116	9948.7
		8683.006	9906.8	8659.94	9832.7	8629.575	9837.3	8586.198	9859	8571.881	9849.1	8547.282	9818.4	8528.203	9868.1	8514.047	9862.6	8494.178	9851.7	8486.917	9846	8465.337	9866.3	8448.782	9848.6	8453.666	9839.2	8375.903	9967	8387.551	9940.2
		8713.552	9913.6	8690.723	9826.5	8660.32	9848.1	8616.864	9865.3	8602.642	9842.6	8578.071	9828.9	8558.843	9882	8544.756	9851	8524.89	9854	8517.641	9851.4	8496.038	9862.1	8479.518	9847.1	8484.387	9852.2	8406.253	9979	8417.974	9948.3
		8744.109	9900.8	8721.476	9841.5	8691.097	9837.3	8647.563	9863.8	8633.414	9834.3	8608.873	9824.5	8589.492	9873.8	8575.48	9851.7	8555.59	9862.7	8548.378	9846.8	8526.751	9853.5	8510.284	9837.8	8515.099	9850.5	8436.578	9982.9	8448.381	9953.8
		8774.683	9901.2	8752.25	9834.3	8721.865	9831	8678.254	9863.9	8664.173	9839.2	8639.702	9811.8	8620.167	9867.1	8606.188	9856.6	8586.305	9857.5	8579.117	9841.2	8557.458	9856.9	8541.012	9849.1	8545.823	9846	8466.926	9978	8478.813	9946.6
		8805.251	9902.8	8783.033	9831.6	8752.65	9825.9	8708.913	9872.1	8694.895	9851.8	8670.504	9824.5	8650.83	9866	8636.871	9863.9	8617.033	9849.1	8609.861	9849.1	8588.132	9867.3	8571.723	9854	8576.562	9840.8	8497.299	9960.9	8509.264	9935.7
		8835.797	9913.6	8813.82	9829.2	8783.388	9846.7	8739.581	9873.6	8725.657	9842.3	8701.301	9828.2	8681.476	9876.2	8667.577	9856.7	8647.763	9853.4	8640.573	9850.6	8618.83	9863.9	8602.463	9844.2	8607.285	9851.4	8527.657	9971.3	8539.71	9942.6
		8866.343	9908.6	8844.591	9836.8	8814.145	9839.2	8770.247	9865.6	8756.423	9831.2	8732.098	9828.5	8712.142	9865.6	8698.308	9853	8678.462	9862.8	8671.319	9848.1	8649.52	9863.1	8633.22	9839.2	8637.99	9857.2	8558.002	9970.4	8570.103	9958.8
				8844.927	9832.7	8800.925	9866.7	8787.197	9834.3	8762.919	9823.3	8742.826	9868.9	8729.03	9852.3	8709.159	9858.9	8702.094	9839.3	8680.22	9862.6	8663.942	9851.8	8668.719	9855.3	8588.383	9968.9	8600.509	9953.8		
						8831.61	9868.8	8817.925	9849.1	8793.747	9817.5	8773.495	9873.2	8759.727	9858.9	8739.885	9849.1	8732.836	9844.2	8710.904	9868.8	8694.653	9850.7	8699.432	9854	8618.746	9975.3	8630.947	9943.5		
						8862.246	9878.4	8848.679	9841.6	8824.536	9829	8804.16	9865.9	8790.389	9858.9	8770.598	9850.8	8763.581	9848.5	8741.602	9863.9	8725.399	9849.1	8730.147	9858.4	8649.095	9979	8661.354	9953.8		
										8855.35	9816.5	8834.845	9867.5	8821.142	9836.3	8801.279	9863.5	8794.317	9847.1	8772.299	9855.4	8756.136	9840.8	8760.829	9863.8	8679.405	9987.8	8691.728	9961		
												8865.539	9855.7	8851.853	9854	8831.975	9858.9	8825.068	9842.5	8803.004	9857.9	8786.858	9851.5	8791.543	9858.5	8709.754	9979	8722.128	9957.8		
																8862.69	9858.2	8855.807	9846.5	8833.704	9863.9	8817.564	9856.5	8822.263	9852.6	8740.133	9968	8752.552	9952.5		
																				8864.405	9863.4	8848.292	9849.1	8852.978	9857.8	8770.494	9965.6	8782.97	9951.2		
																										8800.841	9970.6	8813.37	9957		
																										8831.181	9976.9	8843.796	9951.6		
																										8861.546	9972.8	8874.2	9950.7		
