#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
675.722	8686.1	670.084	8643.6	672.26	8664.8	672.129	8672.5	669.805	8668.6	662.73	8644.8	667.43	8646.9	670.409	8640.4	667.387	8642	666.402	8624.9	668.207	8639.8	672.687	8641.3	666.72	8673.8	665.079	8674.9	666.29	8653.3	664.052	8686.6	669.206	8664.8	662.842	8670.5	667.574	8676.2	667.601	8690	669.12	8687.4	665.151	8689.1	675.806	8708.8	667.947	8707	668.027	8696.9	669.129	8695.5
709.532	8948.2	704.026	8908.1	706.169	8918.8	706.021	8924.2	703.684	8927.3	696.722	8896	701.371	8910.2	704.402	8899.8	701.377	8893.4	700.42	8885.4	702.211	8889.2	706.726	8887.9	700.523	8946.7	698.978	8917.5	700.266	8900	697.907	8936.4	703.115	8919.2	696.742	8920.2	701.444	8925.8	701.393	8948.6	702.883	8956.7	698.896	8960.8	709.519	8971.7	701.68	8966.1	701.758	8962.3	702.874	8957.9
742.471	9183.6	737.127	9133.1	739.231	9152.6	739.075	9152	736.743	9150.4	729.861	9131.1	734.446	9146	737.518	9134.7	734.497	9133.6	733.571	9122.6	735.374	9120.6	739.867	9131.4	733.521	9162.5	732.035	9151	733.406	9130.4	730.917	9163.5	736.163	9156.9	729.788	9149.5	734.476	9161.1	734.316	9186.8	735.822	9182.5	731.852	9182.4	742.379	9206.2	734.544	9205.2	734.661	9194.3	735.763	9192.9
774.712	9382.4	769.479	9351	771.607	9348.3	771.417	9355.3	769.079	9356.5	762.292	9328.7	766.803	9350.6	769.941	9335	766.87	9341.3	766.022	9321.7	767.795	9329.8	772.261	9343.8	765.813	9369.6	764.381	9356.6	765.799	9343.3	763.186	9375	768.446	9367.3	762.072	9369.2	766.789	9361.6	766.555	9388.4	768.054	9386.9	764.103	9379.5	774.489	9422	766.699	9409.1	766.785	9418.8	767.927	9409.7
806.383	9552.6	801.244	9521.5	803.389	9524.8	803.122	9543.1	800.778	9545.4	794.134	9506.4	798.548	9532.2	801.713	9523.1	798.636	9524.8	797.83	9508	799.577	9524.7	804.018	9528.1	797.499	9550.2	796.047	9555.1	797.582	9524.4	794.826	9559	800.135	9548	793.775	9543.1	798.461	9552.6	798.149	9572.7	799.645	9578.3	795.764	9560.5	806.033	9592.8	798.264	9585.2	798.289	9603.6	799.429	9603.5
837.541	9716.9	832.474	9686.3	834.617	9691.2	834.354	9693.6	831.963	9699.9	825.405	9677.2	829.752	9702.2	832.914	9698.4	829.865	9689	829.041	9696.1	830.806	9689	835.249	9689	828.64	9722.2	827.197	9715.6	828.811	9685.9	825.92	9732.1	831.306	9708.2	824.978	9702.7	829.604	9716.6	829.226	9737	830.691	9746.6	826.856	9732.1	837.082	9752.7	829.295	9747.9	829.299	9759.2	830.463	9754.7
868.217	9868.8	863.256	9834	865.369	9845.5	865.127	9830.8	862.722	9844.2	856.226	9824.5	860.488	9849.1	863.699	9832	860.648	9832	859.833	9834.2	861.605	9827.6	866.033	9832.8	859.369	9854	857.918	9852.7	859.584	9831.4	856.584	9871.5	862.042	9848.1	855.721	9844.1	860.317	9854	859.847	9880.2	861.33	9882.4	857.555	9863.7	867.674	9898.6	859.865	9901.3	859.872	9900.9	861.024	9903.6
898.528	9989.1	893.647	9962.8	895.739	9971.1	895.517	9962.3	893.11	9963.8	886.662	9946.7	890.843	9970.8	894.114	9953.8	891.034	9963.8	890.235	9958.4	892.005	9958.6	896.409	9967.8	889.711	9979	888.264	9976.3	889.959	9967	886.864	10002	892.341	9993.5	886.069	9982.1	890.646	9982.5	890.151	9997.6	891.633	9997.7	887.885	9983.2	897.85	10034	890.097	10011	890.047	10034	891.186	10038
928.551	10085	923.736	10068	925.813	10073	925.572	10074	923.129	10085	916.789	10050	920.867	10085	924.209	10060	921.1	10070	920.305	10069	922.059	10074	926.475	10071	919.719	10089	918.255	10095	920.008	10076	916.782	10120	922.317	10100	916.078	10088	920.621	10101	920.128	10100	921.599	10103	917.881	10088	927.726	10134	920.035	10117	919.916	10137	920.987	10164
958.321	10175	953.558	10153	955.591	10168	955.387	10159	952.93	10164	946.628	10148	950.612	10179	954.003	10162	950.912	10150	950.058	10175	951.871	10156	956.286	10156	949.459	10185	947.994	10185	949.799	10164	946.474	10201	952.034	10188	945.846	10175	950.339	10188	949.815	10199	951.252	10210	947.566	10199	957.306	10236	949.635	10226	949.512	10230	950.483	10264
987.832	10265	983.145	10238	985.097	10262	984.964	10236	982.478	10246	976.177	10246	980.084	10274	983.575	10242	980.478	10235	979.581	10254	981.434	10241	985.839	10244	978.955	10270	977.485	10262	979.315	10259	975.939	10281	981.495	10272	975.35	10256	979.825	10269	979.245	10289	980.716	10280	977.037	10274	986.662	10310	979.014	10307	978.885	10313	979.746	10346
1017.152	10321	1012.494	10319	1014.416	10328	1014.315	10317	1011.815	10321	1005.546	10311	1009.358	10344	1012.943	10311	1009.835	10319	1008.914	10323	1010.807	10313	1015.179	10316	1008.259	10334	1006.779	10335	1008.606	10337	1005.175	10362	1010.725	10353	1004.628	10340	1009.099	10343	1008.511	10351	1009.973	10349	1006.332	10335	1015.821	10388	1008.202	10373	1008.022	10386	1008.824	10408
