#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
2076.214	9908.3	2070.53	9920.8	2070.877	9908.6	2070.911	9926.4	2070.232	9922.7	2062.127	9972.7	2067.754	9898.6	2069.161	9921.7	2066.628	9923.6	2063.879	9922.5	2066.272	9971.9	2070.981	9925.7	2064.099	9935.6	2062.848	9923.4	2062.779	9962	2058.758	9933.7	2065.915	9933.7	2059.094	9967.6	2061.545	9976.6	2058.806	10017	2060.116	9982.9	2057.779	9970.5	2065.316	10017	2057.53	9982.6	2056.568	9994	2054.876	10013
2106.844	9882.4	2101.129	9893.7	2101.512	9881.1	2101.433	9918	2100.779	9913.6	2092.553	9953.4	2098.409	9878.4	2099.744	9897.2	2097.204	9898.6	2094.457	9903	2096.679	9956.1	2101.564	9897.9	2094.607	9923.2	2093.389	9911.3	2093.265	9933.7	2089.28	9918.6	2096.445	9913.6	2089.55	9943.2	2091.947	9957.8	2089.091	9998.5	2090.501	9963.8	2088.22	9948.5	2095.641	9984.1	2087.934	9956.7	2086.928	9971.7	2085.171	9991.3
2137.538	9862.3	2131.775	9877.7	2132.228	9855.7	2132.056	9888.7	2131.396	9886.8	2123	9943.7	2129.117	9858	2130.359	9887.6	2127.852	9876.1	2125.079	9883.7	2127.179	9920.6	2132.234	9875.1	2125.17	9908.6	2124.005	9886.6	2123.812	9913	2119.889	9893.7	2127.051	9888.7	2120.076	9916.6	2122.442	9926	2119.409	9986.1	2120.922	9951.3	2118.705	9925.2	2126.046	9956.5	2118.406	9938.1	2117.359	9948.2	2115.526	9973.9
2168.245	9858.9	2162.484	9857.9	2162.953	9853	2162.724	9873.8	2162.078	9860.6	2153.454	9946.2	2159.862	9845.6	2161.056	9856	2158.559	9858.6	2155.761	9861	2157.741	9908.6	2162.93	9861.3	2155.789	9886	2154.68	9868	2154.42	9893.3	2150.557	9873.8	2157.703	9870.9	2150.645	9902.1	2153.003	9903.7	2149.734	9984.1	2151.445	9917.2	2149.268	9907.3	2156.511	9936.6	2148.905	9926.2	2147.861	9928.6	2145.948	9951.5
2199.014	9838.3	2193.227	9841	2193.75	9828.5	2193.429	9858.9	2192.802	9852.3	2183.95	9927.2	2190.683	9824.5	2191.831	9839.2	2189.283	9852.3	2186.521	9843.7	2188.34	9892.4	2193.668	9848.5	2186.471	9866.1	2185.403	9853	2185.038	9886.3	2181.251	9862.2	2188.393	9863.9	2181.254	9893.7	2183.617	9887.2	2180.121	9963.8	2182.054	9893.7	2179.901	9875.7	2187.018	9923.6	2179.482	9903.7	2178.387	9916.7	2176.45	9928.6
2229.833	9816.3	2224.062	9811.7	2224.599	9806.9	2224.157	9851.6	2223.568	9839	2214.495	9905.4	2221.549	9809.8	2222.617	9826.1	2220.072	9829.4	2217.31	9829.4	2218.957	9887	2224.47	9821.6	2217.196	9852.5	2216.147	9844.2	2215.734	9861.2	2211.978	9851.7	2219.136	9844.2	2211.901	9876.2	2214.252	9878.7	2210.527	9956.8	2212.672	9886.2	2210.575	9868.4	2217.591	9895.7	2210.119	9878.7	2208.973	9896.6	2206.957	9923.6
2260.685	9814.7	2254.923	9808.9	2255.492	9792	2254.953	9828.4	2254.389	9824.5	2245.064	9903.7	2252.367	9809.8	2253.404	9832.2	2250.914	9813.9	2248.123	9822.9	2249.648	9862.5	2255.336	9809.8	2247.956	9844.2	2246.952	9824.2	2246.475	9840.9	2242.766	9826	2249.973	9819.2	2242.626	9852.1	2244.95	9855.5	2240.966	9940.1	2243.276	9885.1	2241.241	9865.7	2248.213	9883.7	2240.779	9872.3	2239.626	9878.1	2237.535	9903.6
2291.512	9819.6	2285.789	9812	2286.436	9785.4	2285.818	9804.9	2285.221	9817.7	2275.639	9900.8	2283.265	9799.5	2284.206	9821.3	2281.779	9804.7	2278.984	9807.9	2280.394	9849.1	2286.199	9802.1	2278.739	9833.7	2277.814	9801.9	2277.274	9827	2273.609	9813.5	2280.819	9812.3	2273.355	9851.7	2275.696	9849.1	2271.415	9942.9	2273.909	9881.7	2271.931	9863.9	2278.866	9878.7	2271.485	9857.8	2270.319	9861.3	2268.165	9882
2322.36	9812.2	2316.641	9811.9	2317.411	9775.7	2316.731	9794.6	2316.041	9816.6	2306.257	9887	2314.128	9807.7	2315.037	9817	2312.645	9806.8	2309.852	9809.8	2311.139	9846	2317.044	9812.9	2309.52	9834.3	2308.648	9811.5	2308.082	9829.2	2304.482	9804	2311.668	9812	2304.056	9858.9	2306.439	9844.2	2301.911	9927.6	2304.574	9871.3	2302.645	9858.9	2309.483	9886.9	2302.231	9849.1	2301.026	9858.1	2298.835	9873
2353.225	9801.9	2347.509	9809.8	2348.364	9779.7	2347.645	9795.2	2346.827	9826.5	2336.91	9875.1	2345.011	9804.9	2345.867	9818.4	2343.512	9806.5	2340.699	9807	2341.844	9858.9	2347.912	9809.8	2340.286	9839.2	2339.469	9824.5	2338.918	9819.6	2335.324	9813.9	2342.527	9808.2	2334.786	9851.1	2337.185	9849	2332.444	9918.6	2335.222	9877.4	2333.352	9858.5	2340.135	9870.8	2332.989	9836	2331.801	9839.2	2329.482	9876.8
2384.069	9813.6	2378.378	9804.9	2379.303	9783.5	2378.553	9792.4	2377.629	9827.2	2367.57	9873.8	2375.872	9808.9	2376.651	9833.6	2374.371	9809.1	2371.53	9817.4	2372.551	9858.8	2378.776	9807.9	2371.022	9849.1	2370.281	9824	2369.753	9814.7	2366.177	9814.7	2373.375	9812	2365.527	9846.8	2367.923	9848.5	2362.987	9910.9	2365.838	9886.9	2364.042	9863.2	2370.817	9860.4	2363.732	9840.9	2362.572	9836.8	2360.151	9873.8
2414.905	9816.4	2409.254	9803.5	2410.209	9794	2409.482	9789.8	2408.456	9819.3	2398.204	9881.7	2406.701	9818	2407.456	9824.5	2405.216	9813	2402.374	9812.7	2403.28	9851.1	2409.618	9814.2	2401.779	9841.7	2401.109	9818.7	2400.59	9819.6	2396.978	9814.7	2404.225	9812.1	2396.287	9844.2	2398.666	9846.5	2393.547	9900.2	2396.482	9877.1	2394.753	9856.4	2401.509	9863.7	2394.461	9850.8	2393.328	9841.9	2390.813	9872.1
2445.735	9818.7	2440.116	9808.9	2441.132	9788.1	2440.371	9798.4	2439.269	9823.1	2428.886	9866.5	2437.553	9814.7	2438.292	9819.6	2436.054	9819	2433.223	9806.6	2433.989	9857.6	2440.452	9811.5	2432.545	9839.2	2431.915	9829.4	2431.396	9829	2427.843	9804.9	2435.04	9822.2	2427.018	9851.2	2429.404	9847.8	2424.137	9896.1	2427.143	9872	2425.479	9851.3	2432.176	9871.2	2425.192	9854	2424.065	9848.8	2421.477	9872.5
2476.578	9813.8	2471	9804.9	2472.067	9786.7	2471.232	9807.9	2470.068	9828.1	2459.592	9858.4	2468.404	9806.4	2469.109	9822.1	2466.889	9814.7	2464.056	9811.8	2464.679	9863.9	2471.32	9809.8	2463.284	9847.5	2462.681	9838.6	2462.218	9823.9	2458.65	9829	2465.858	9816.3	2457.745	9852.2	2460.096	9863.4	2454.76	9888.7	2457.819	9868.8	2456.225	9851.3	2462.868	9863.6	2455.916	9852.3	2454.808	9841	2452.111	9881
2507.407	9818.3	2501.889	9798.9	2502.979	9795.2	2502.122	9798.2	2500.89	9824.5	2490.314	9854	2499.256	9814.7	2499.908	9828.1	2497.736	9812.6	2494.878	9825.8	2495.376	9855.7	2502.167	9813.2	2494.01	9852.3	2493.447	9839.2	2493.037	9816.3	2489.45	9828	2496.688	9818.1	2488.488	9840.6	2490.842	9849.1	2485.375	9888.8	2488.451	9881.6	2486.905	9866.3	2493.583	9858.9	2486.642	9853	2485.58	9837.4	2482.788	9870.2
2538.207	9827.6	2532.762	9804.1	2533.877	9800	2533.015	9798.3	2531.708	9816.6	2521.023	9857.8	2530.048	9829.4	2530.716	9829.4	2528.572	9819.6	2525.685	9829.4	2526.081	9858.9	2533.014	9813	2524.772	9843.4	2524.222	9836.2	2523.835	9828.1	2520.247	9829.1	2527.493	9821.3	2519.211	9852.3	2521.572	9854	2515.962	9896.5	2519.126	9867.8	2517.595	9863.7	2524.274	9863.9	2517.319	9867.2	2516.316	9848.9	2513.448	9873.8
2569.011	9827.8	2563.593	9817.6	2564.789	9795.2	2563.912	9800	2562.514	9829.4	2551.768	9846.1	2560.839	9830.9	2561.507	9834.3	2559.371	9827.5	2556.471	9833.2	2556.782	9860.6	2563.851	9819.7	2555.523	9844.2	2554.983	9844.2	2554.603	9838.3	2551.021	9831.5	2558.277	9832.3	2549.907	9861.5	2552.284	9856.7	2546.582	9880.6	2549.826	9864	2548.265	9873.8	2554.921	9877	2548.009	9863.9	2547.032	9858.7	2544.088	9883.2
2599.815	9821.5	2594.405	9821	2595.699	9786.7	2594.778	9809.8	2593.25	9849.1	2582.521	9843.3	2591.601	9844.2	2592.262	9842.1	2590.173	9821.6	2587.232	9843	2587.458	9868.8	2594.673	9824.5	2586.254	9850.8	2585.705	9852.8	2585.393	9834.3	2581.746	9852.6	2589.078	9827	2580.584	9868.8	2582.975	9863.9	2577.237	9878.7	2580.445	9886.2	2578.867	9890.9	2585.573	9870.8	2578.703	9862.8	2577.778	9848.8	2574.728	9883.7
2630.605	9836.7	2625.197	9829.3	2626.597	9800	2625.595	9809.8	2623.981	9854	2613.279	9841.9	2622.33	9851.2	2622.956	9861.8	2620.976	9826.7	2617.945	9851.2	2618.128	9870.8	2625.456	9833.1	2616.914	9873.4	2616.449	9851.3	2616.177	9832	2612.453	9858.6	2619.867	9826.4	2611.217	9882	2613.636	9872.3	2607.854	9886.7	2611.015	9902	2609.453	9897.5	2616.198	9883.4	2609.364	9872.4	2608.518	9841.4	2605.317	9883.7
2661.286	9866.7	2655.938	9847.6	2657.466	9801.4	2656.468	9803.6	2654.697	9858.9	2644.018	9848.1	2652.991	9875.1	2653.633	9868.8	2651.751	9836.4	2648.621	9868.3	2648.782	9875.1	2656.197	9841.1	2647.55	9875.9	2647.143	9862.1	2646.964	9832.8	2643.149	9861.8	2650.59	9852.9	2641.84	9888.6	2644.298	9872.8	2638.468	9888.7	2641.598	9897.2	2640.007	9907	2646.783	9897.9	2639.987	9888.7	2639.241	9852.3	2635.985	9873.8
2691.946	9873.8	2686.63	9863.7	2688.312	9812.2	2687.274	9829.4	2685.366	9873.8	2674.77	9843	2683.627	9881	2684.268	9875.8	2682.445	9862	2679.26	9883.7	2679.38	9893.2	2686.889	9863	2678.164	9887.4	2677.807	9871.7	2677.694	9854	2673.783	9881.8	2681.255	9871.3	2672.397	9906	2674.913	9887.1	2669.105	9875.4	2672.158	9900.2	2670.567	9900.3	2677.297	9915.6	2670.57	9897.8	2669.92	9866.4	2666.573	9890.9
2722.584	9880.4	2717.312	9866.8	2719.165	9811.3	2718.005	9850.8	2715.966	9892.1	2705.552	9834.1	2714.256	9880.1	2714.883	9887.5	2713.15	9861.9	2709.854	9898.6	2709.943	9908.6	2717.556	9871.4	2708.748	9898.2	2708.407	9892.4	2708.389	9861.7	2704.375	9895.1	2711.916	9873.7	2702.954	9906.6	2705.473	9903.6	2699.76	9878.7	2702.696	9912.7	2701.093	9916.2	2707.804	9923.6	2701.147	9903.7	2700.565	9877.6	2697.13	9906.7
2753.191	9890.2	2747.974	9873.7	2749.949	9833.7	2748.702	9856.1	2746.581	9887.9	2736.319	9839.2	2744.842	9896.9	2745.453	9901.9	2743.813	9872.5	2740.38	9916.5	2740.491	9913.1	2748.201	9878.8	2739.276	9916	2738.996	9890.2	2739.049	9872.4	2734.953	9903.7	2742.553	9883.7	2733.501	9913.6	2736.017	9905.7	2730.36	9892.4	2733.179	9925.4	2731.575	9931.2	2738.284	9931.7	2731.676	9910.6	2731.187	9888.7	2727.678	9908
2783.734	9911.6	2778.634	9870.5	2780.661	9856.3	2779.381	9867.1	2777.179	9895	2767.011	9863.9	2775.39	9913.6	2776.039	9897	2774.483	9873.8	2770.91	9916.6	2771.028	9913.6	2778.8	9893.7	2769.838	9908.6	2769.58	9898.1	2769.668	9880.5	2765.506	9908.6	2773.145	9898.7	2764.008	9923.6	2766.55	9918	2760.923	9908.6	2763.656	9933	2762.044	9930.1	2768.734	9943.3	2762.153	9933	2761.747	9900	2758.203	9917.4
2814.272	9913.6	2809.224	9897.1	2811.374	9857.1	2810.016	9881.5	2807.758	9903.7	2797.688	9868.8	2805.934	9911.9	2806.599	9900.8	2805.074	9890.2	2801.422	9921.5	2801.52	9928.2	2809.356	9907	2800.361	9918.6	2800.127	9913.6	2800.237	9902.4	2796.02	9921.3	2803.668	9917	2794.471	9937.3	2797.044	9927.5	2791.466	9905.8	2794.125	9930.4	2792.509	9936.9	2799.135	9958.5	2792.63	9933.7	2792.258	9921.8	2788.682	9932.3
2844.78	9923.6	2839.809	9898.6	2842.067	9863.9	2840.609	9898.6	2838.306	9913.6	2828.334	9878.1	2836.462	9916.5	2837.128	9910.1	2835.673	9893.7	2831.906	9931.2	2831.97	9942.2	2839.935	9903.7	2830.841	9932.5	2830.626	9926.1	2830.785	9908.1	2826.502	9931.1	2834.216	9912.8	2824.936	9937.9	2827.481	9940.5	2822.029	9908.6	2824.556	9948.3	2822.939	9948.5	2829.542	9956.8	2823.083	9941.4	2822.751	9928.1	2819.1	9952.4
2875.259	9933.3	2870.384	9901.1	2872.701	9882	2871.181	9902.1	2868.849	9911.8	2858.969	9881.9	2866.987	9918.6	2867.636	9922.6	2866.243	9902.3	2862.344	9946.4	2862.434	9936.8	2870.505	9903.5	2861.277	9946.6	2861.121	9927.4	2861.328	9905.7	2856.97	9936	2864.743	9910.5	2855.388	9941.3	2857.929	9942.5	2852.527	9926.4	2854.957	9958.8	2853.354	9950.1	2859.935	9961.8	2853.514	9948.7	2853.213	9937.5	2849.52	9952.9
2905.69	9945.1	2900.956	9902.8	2903.302	9893.2	2901.755	9895.8	2899.387	9913.6	2889.561	9895.6	2897.458	9938.6	2898.144	9923.6	2896.819	9900.3	2892.763	9952	2892.904	9938.6	2901.043	9913.1	2891.71	9948.5	2891.613	9928.6	2891.846	9923.6	2887.42	9941.5	2895.25	9923.6	2885.808	9951.6	2888.365	9940.8	2882.977	9942.4	2885.336	9958.8	2883.757	9957.3	2890.294	9972.1	2883.901	9963.8	2883.639	9953.8	2879.924	9957.2
2936.128	9946.8	2931.483	9917.5	2933.906	9893	2932.302	9913.6	2929.913	9917.1	2920.134	9901.6	2927.922	9937.5	2928.645	9925.7	2927.33	9921.7	2923.186	9945.1	2923.335	9948.7	2931.555	9921.8	2922.145	9948.4	2922.084	9938.6	2922.317	9938.6	2917.875	9940.8	2925.721	9938.6	2916.195	9963.5	2918.77	9956.5	2913.447	9938.6	2915.754	9952.3	2914.172	9953.8	2920.638	9977.5	2914.273	9968.9	2914.014	9967.4	2910.303	9965.7
2966.566	9947.3	2962.009	9918.6	2964.493	9897.4	2962.799	9927.2	2960.428	9926	2950.703	9903.7	2958.394	9938.6	2959.111	9936.4	2957.852	9918.6	2953.578	9955.8	2953.721	9963.8	2962.078	9918.6	2952.569	9953.8	2952.523	9945.4	2952.778	9938.4	2948.276	9958	2956.141	9938.6	2946.567	9968.9	2949.147	9960.8	2943.897	9943.4	2946.149	9960.3	2944.565	9966.8	2950.981	9979	2944.666	9966.6	2944.384	9965.2	2940.604	9992.1
2996.992	9950.5	2992.549	9912.4	2995.049	9907.7	2993.292	9928.6	2990.937	9923.6	2981.245	9911.5	2988.851	9940.6	2989.547	9946.6	2988.364	9922	2983.918	9979	2984.117	9960.3	2992.586	9923.6	2982.946	9966.7	2982.954	9948.7	2983.248	9935.5	2978.695	9952.8	2986.648	9923.4	2976.945	9971.4	2979.518	9968.4	2974.313	9953.8	2976.48	9982	2974.897	9982.4	2981.311	9982.7	2975.023	9973.9	2974.741	9973.9	2970.928	9981.1
3027.369	9967.1	3023.082	9915.2	3025.581	9915	3023.794	9925.7	3021.432	9928.1	3011.752	9923.6	3019.277	9950.2	3019.995	9943.3	3018.861	9926.6	3014.246	9983.3	3014.52	9958.8	3023.078	9925.4	3013.317	9965.3	3013.346	9948.7	3013.669	9951.4	3009.099	9958.1	3017.095	9942.8	3007.286	9978.3	3009.891	9968.9	3004.7	9963.8	3006.824	9977.4	3005.237	9979	3011.638	9984.1	3005.332	9985.6	3005.08	9981.2	3001.242	9988.5
3057.754	9960.2	3053.561	9933.3	3056.127	9916.4	3054.288	9927.7	3051.933	9925.6	3042.251	9920.8	3049.724	9943.7	3050.444	9942	3049.314	9941.4	3044.588	9977.3	3044.897	9961	3053.528	9942.5	3043.712	9966.1	3043.783	9946	3044.062	9955.5	3039.504	9958.8	3047.499	9957.6	3037.599	9988.4	3040.24	9981.4	3035.094	9966.6	3037.17	9977.5	3035.578	9978.3	3041.939	9992.3	3035.682	9981.3	3035.391	9989.1	3031.537	9990.8
3088.143	9963.2	3084.064	9925.6	3086.651	9918.5	3084.719	9948.7	3082.384	9941.7	3072.766	9925.9	3080.142	9952.9	3080.883	9940.7	3079.79	9933.6	3074.92	9982.2	3075.269	9968.9	3083.999	9938.6	3074.07	9975.3	3074.169	9963.8	3074.448	9963.8	3069.89	9963.8	3077.915	9955.1	3067.914	9987.8	3070.557	9986.5	3065.483	9962.5	3067.498	9983.7	3065.919	9979	3072.25	9988.6	3066.008	9984.1	3065.704	9987.2	3061.791	10007
3118.517	9968.9	3114.581	9926.3	3117.164	9922.2	3115.156	9946.4	3112.837	9942.2	3103.245	9933.3	3110.56	9955.1	3111.284	9958.8	3110.261	9935	3105.229	9991.8	3105.659	9962.1	3114.452	9941.2	3104.386	9986.6	3104.546	9966.2	3104.819	9968.9	3100.25	9972.2	3108.333	9952.3	3098.194	9987.8	3100.907	9979	3095.856	9968.9	3097.816	9992.6	3096.231	9988	3102.562	9989.1	3096.319	9989.1	3096.036	9982	3092.08	10002
3148.848	9982.6	3145.057	9930	3147.642	9933	3145.59	9947.8	3143.29	9941.3	3133.687	9940.3	3140.946	9963.8	3141.699	9953.4	3140.748	9933.7	3135.538	9992	3136.044	9960.2	3144.9	9943.7	3134.734	9976	3134.935	9961.5	3135.167	9968.9	3130.622	9968.7	3138.757	9950.4	3128.522	9983.8	3131.285	9965.7	3126.198	9978.2	3128.135	9985.8	3126.563	9982.2	3132.861	9993.1	3126.615	9991.1	3126.347	9989.1	3122.367	10003
3179.187	9981.7	3175.508	9942.8	3178.144	9925.7	3176.016	9953.5	3173.738	9943.7	3164.148	9938.7	3171.335	9963.4	3172.119	9952.3	3171.174	9945	3165.862	9984.1	3166.437	9961.1	3175.293	9955.5	3165.079	9977.5	3165.329	9960.3	3165.541	9967.8	3160.966	9977.3	3169.136	9965.6	3158.79	10000	3161.61	9984.1	3156.57	9968.3	3158.468	9986.6	3156.904	9977.6	3163.129	10004	3156.91	9990.5	3156.625	10001	3152.638	10007
3209.535	9975.8	3205.972	9938.2	3208.638	9928.6	3206.419	9958.8	3204.141	9958	3194.598	9942.4	3201.745	9961.3	3202.52	9958.8	3201.606	9947.6	3196.175	9987.2	3196.809	9968.9	3205.71	9953.8	3195.405	9980.9	3195.671	9977.6	3195.904	9970.5	3191.295	9983.2	3199.508	9968.9	3189.075	9998.9	3191.92	9989.1	3186.961	9961.2	3188.768	9992.9	3187.233	9983	3193.413	9999	3187.205	9996.7	3186.907	9995.6	3182.879	10017
3239.859	9980.9	3236.435	9938.6	3239.099	9938.6	3236.825	9956.9	3234.581	9948.7	3225.053	9940.5	3232.139	9960.7	3232.906	9963.8	3232.052	9943.7	3226.469	9994.2	3227.179	9968.5	3236.13	9952.3	3225.707	9996.8	3226.018	9970.8	3226.275	9968.9	3221.636	9979	3229.909	9958.8	3219.345	10003	3222.269	9981.5	3217.32	9972.8	3219.036	10004	3217.532	9993.7	3223.696	9999.3	3217.474	10003	3217.178	10002	3213.115	10014
3270.17	9989.1	3266.87	9947.4	3269.535	9947.9	3267.265	9948.7	3265.004	9951.1	3255.46	9956.2	3262.518	9971.1	3263.27	9963.8	3262.493	9948.7	3256.768	9993.6	3257.597	9952.4	3266.569	9951.3	3256.017	9988.7	3256.373	9973.9	3256.635	9972.5	3251.991	9973.9	3260.284	9967	3249.632	10001	3252.599	9983	3247.668	9982.1	3249.329	9994.2	3247.84	9989.1	3253.969	10001	3247.727	10008	3247.46	9999.3	3243.353	10013
3300.495	9984.1	3297.302	9945.5	3299.987	9940.9	3297.654	9962.7	3295.423	9952.7	3285.876	9953.8	3292.895	9967.8	3293.702	9947.4	3292.883	9961.9	3287.078	9989.1	3288	9958.8	3296.955	9963.8	3286.367	9981.8	3286.722	9981.5	3286.966	9982	3282.333	9978.7	3290.631	9976.8	3279.903	10002	3282.923	9980.4	3278.028	9972.5	3279.641	9987.6	3278.169	9983	3284.225	10007	3278.016	10003	3277.698	10013	3273.586	10011
3330.843	9982.3	3327.735	9945.4	3330.481	9928.4	3328.026	9968.9	3325.81	9963.1	3316.299	9951.4	3323.252	9973.9	3324.104	9958.8	3323.307	9950.1	3317.394	9986.5	3318.355	9973.5	3327.349	9966.2	3316.662	9990.5	3317.036	9987.5	3317.328	9965.5	3312.659	9984.1	3320.996	9973.6	3310.192	10002	3313.224	9992.6	3308.399	9968.9	3309.958	9985.9	3308.501	9986.5	3314.493	10004	3308.294	9996.2	3307.967	10004	3303.793	10023
3361.158	9988.1	3358.186	9943.7	3360.929	9943.5	3358.419	9966.8	3356.2	9962.4	3346.716	9953.8	3353.594	9977.9	3354.475	9968.9	3353.745	9940.3	3347.689	9994.2	3348.724	9968.9	3357.758	9955.2	3346.941	10002	3347.367	9982.4	3347.722	9966.8	3343.002	9977.6	3351.361	9968.5	3340.461	10004	3343.544	9985.7	3338.734	9968.9	3340.245	10002	3338.796	9994.2	3344.774	9996.1	3338.561	10000	3338.255	10003	3334.013	10019
3391.469	9989.1	3388.602	9953.8	3391.352	9951.1	3388.808	9961.4	3386.603	9958.1	3377.092	9966.6	3383.91	9986.7	3384.862	9963.8	3384.163	9952.1	3377.99	9992.4	3379.089	9970.4	3388.134	9967	3377.236	9994.2	3377.717	9979	3378.078	9975.3	3373.348	9977.2	3381.715	9973.6	3370.713	10009	3373.846	9992.6	3369.111	9960.9	3370.528	9999.3	3369.092	9993.8	3375.043	10004	3368.819	10012	3368.504	10006	3364.22	10022
3421.783	9987.5	3419.013	9955.8	3421.808	9940.1	3419.21	9958.7	3417.003	9955.3	3407.48	9963.8	3414.258	9981.9	3415.239	9966.5	3414.565	9958.8	3408.339	9981.5	3409.46	9968.5	3418.473	9981.4	3407.51	9994.2	3408.03	9987.4	3408.402	9980.5	3403.683	9981.9	3412.042	9983.3	3400.955	10017	3404.131	9998.2	3399.47	9973.3	3400.81	9998.1	3399.416	9980.9	3405.283	10012	3399.081	10006	3398.738	10014	3394.47	10006
3452.116	9987.4	3449.42	9957.8	3452.258	9943.5	3449.601	9961.4	3447.376	9968.1	3437.874	9966.9	3444.599	9979	3445.611	9968.9	3444.982	9952.5	3438.654	9987	3439.799	9981.4	3448.82	9970.8	3437.834	9984.1	3438.329	9992.9	3438.728	9984.1	3433.997	9988.5	3442.389	9976.4	3431.227	10007	3434.398	10004	3429.831	9972.5	3431.092	9999.3	3429.732	9987.3	3435.551	10000	3429.351	10003	3428.99	10009	3424.657	10029
3482.413	9993.2	3479.821	9955.3	3482.69	9948.7	3480.016	9953.8	3477.762	9963.5	3468.245	9965.2	3474.963	9976.4	3475.958	9976.4	3475.413	9948.7	3468.962	9985.6	3470.153	9973.6	3479.19	9968.9	3468.12	9999.3	3468.653	9980.6	3469.052	9980.9	3464.337	9981.4	3472.735	9970.8	3461.5	10007	3464.691	9990.6	3460.172	9979	3461.346	10008	3460.046	9987.7	3465.821	10004	3459.607	10007	3459.262	10008	3454.851	10027
3512.694	9999.3	3510.225	9958.8	3513.108	9952.9	3510.394	9953.8	3508.139	9960.9	3498.602	9973.9	3505.289	9984.1	3506.328	9968.9	3505.83	9952.7	3499.287	9984.1	3500.529	9966.6	3509.53	9979	3498.39	10004	3498.998	9976.8	3499.346	9991.1	3494.681	9976.8	3503.076	9978.5	3491.735	10014	3495.004	9990.5	3490.497	9980.5	3491.628	9999.1	3490.356	9989.1	3496.109	10004	3489.86	10009	3489.495	10014	3485.053	10024
3542.979	9996.6	3540.604	9971.6	3543.549	9945.1	3540.825	9948.5	3538.516	9966.6	3528.982	9965.3	3535.653	9970.7	3536.715	9963.8	3536.233	9958.8	3529.628	9977.8	3530.901	9968.9	3539.855	9980.5	3528.687	9993.8	3529.327	9983.8	3529.609	10001	3525.01	9983.3	3533.426	9981.2	3521.954	10016	3525.305	9992.1	3520.84	9981.4	3521.911	9998.1	3520.697	9978.4	3526.332	10018	3520.114	10009	3519.719	10018	3515.278	10018
3573.276	9992.6	3570.978	9968.9	3574.005	9946	3571.213	9962.8	3568.873	9973.9	3559.371	9963.8	3566.022	9965.6	3567.093	9967	3566.639	9956.5	3559.968	9979	3561.259	9972.2	3570.215	9971.9	3558.972	9998.4	3559.626	9992.9	3559.877	10002	3555.326	9987.7	3563.765	9979	3552.178	10018	3555.599	9996.5	3551.179	9982.2	3552.193	9999.3	3551.008	9988.3	3556.587	10008	3550.383	10000	3549.955	10014	3545.451	10035
3603.624	9982.1	3601.363	9960.6	3604.427	9951.6	3601.604	9963.1	3599.232	9972.7	3589.718	9976.2	3596.368	9977.5	3597.465	9968.9	3597.057	9952.8	3590.302	9986.3	3591.685	9950.2	3600.592	9960.9	3589.239	10001	3589.937	9989.1	3590.159	9999.3	3585.651	9984.1	3594.115	9973.9	3582.414	10014	3585.883	9998.6	3581.506	9984.1	3582.464	10008	3581.321	9988.7	3586.855	10000	3580.635	10009	3580.193	10013	3575.662	10027
3633.928	9994.2	3631.75	9960.7	3634.831	9958.8	3632.01	9956.2	3629.609	9966.5	3620.06	9979	3626.694	9980.8	3627.866	9958.8	3627.461	9957	3620.626	9984.1	3622.101	9952.6	3630.964	9968.9	3619.532	9991	3620.286	9981.2	3620.398	10013	3615.992	9978.7	3624.448	9973.9	3612.655	10017	3616.201	9991.7	3611.815	9986.1	3612.752	10001	3611.632	9989.1	3617.108	10009	3610.876	10011	3610.428	10014	3605.865	10024
3664.238	9989.1	3662.114	9976.3	3665.247	9953.8	3662.416	9957.7	3659.968	9972.2	3650.407	9976.8	3657.043	9982.1	3658.27	9957	3657.847	9963.8	3650.968	9977.2	3652.525	9950.7	3661.319	9973.9	3649.849	9992.9	3650.613	9985.4	3650.616	10019	3646.323	9982.7	3654.827	9971.2	3642.877	10019	3646.497	9994.2	3642.141	9980.9	3643.056	9990.9	3641.956	9984.1	3647.331	10018	3641.149	10007	3640.63	10024	3636.07	10024
3694.552	9987.4	3692.474	9972.4	3695.684	9946.9	3692.778	9971.3	3690.298	9982.4	3680.754	9970.6	3687.386	9977.7	3688.662	9961.7	3688.224	9966.5	3681.318	9981.6	3682.911	9963	3691.683	9971.1	3680.13	9995.6	3680.907	9996.7	3680.855	10013	3676.642	9992.4	3685.166	9978.9	3673.101	10019	3676.765	10004	3672.457	9987	3673.342	9998.9	3672.285	9983.5	3677.57	10013	3671.402	10009	3670.873	10011	3666.244	10035
