#t	rpm
0	10112
29.851	10140
59.906	10072
90.738	9819.6
122.495	9531.6
155.22	9245.9
189.061	8938.1
224.062	8642
260.344	8332.1
297.947	8037.7
337.07	7720.8
377.871	7404.4
420.523	7080.1
465.2	6756.5
512.233	6418.5
561.945	6069.1
614.721	5713.6
671.036	5353.9
731.679	4970.5
797.627	4567.5
870.199	4149.6
951.483	3704.2
1044.957	3218.9
1157.287	2677.7
1304.407	2042.9
1477.857	1732.5
1610.237	2270.7
1720.777	2720.5
1817.581	3107.9
1903.878	3487.6
1983.316	3790.7
2057.774	4044.1
2128.587	4253.1
2196.675	4424.1
2262.729	4560.8
2327.279	4667.8
2390.56	4762.2
2452.793	4842.6
2514.487	4883.9
2575.882	4908.5
2636.774	4949.8
2697.01	5003.1
2756.773	5043.6
2816.259	5066.2
2875.65	5075.6
2934.984	5080.1
2994.258	5085.3
3053.608	5078.9
3113.014	5074.4
3172.236	5090.2
3231.099	5121
3289.684	5144.5
3348.106	5160
3406.719	5143.3
3465.55	5123.7
3524.562	5107.8
3583.459	5119.3
3642.08	5143.9
3700.878	5126.5
3759.867	5111.2
3818.648	5128.7
3877.222	5146.4
3935.9	5137.2
3994.791	5118.5
4053.694	5118
4112.26	5147.7
4170.924	5138.6
4229.712	5127.7
4288.53	5124.9
4347.481	5113.2
4406.561	5101.8
4465.733	5092.6
4524.686	5112.3
4583.336	5139.8
4642.027	5136.5
4700.83	5126.2
4759.773	5115.3
4818.73	5114.3
4877.852	5098.3
4937.093	5088.1
4996.065	5112.7
5054.684	5142.6
5113.35	5139.8
5172.167	5125.2
5231.168	5108.8
5290.131	5112.7
5348.933	5126.2
5407.753	5126.5
5466.371	5142.6
5524.959	5145.3
5583.62	5139.2
5642.439	5126.3
5701.351	5116.4
5760.345	5110
5819.403	5103.1
5878.549	5096.8
5937.838	5084.1
5997.091	5087.4
6056.346	5087.7
6115.465	5097.7
6174.476	5108.5
6233.354	5119.8
6292.114	5131.3
6350.745	5140.4
6409.274	5151.9
6467.691	5160.1
6526.323	5141.3
6585.139	5125.2
6643.971	5123.8
6702.654	5138.5
6761.281	5142.2
6820.124	5121.8
6878.983	5120.4
6937.691	5135.2
6996.477	5127.9
7055.417	5114.3
7114.444	5107.1
7173.162	5134
7231.807	5140.6
7290.577	5129.2
7349.52	5115.4
7408.504	5110.5
7467.625	5098.6
7526.777	5095.8
7585.669	5118.5
7644.443	5130
7703.323	5120.8
7762.29	5111.8
7821.354	5104.8
7880.426	5103.4
7939.488	5103.9
7998.735	5088.8
8057.839	5099
8116.704	5122.1
8175.654	5113.2
8234.795	5095.1
8293.971	5094.2
8352.965	5110.3
8412.028	5104.8
8471.223	5091.2
8530.371	5095.1
8589.355	5110.5
8648.232	5119.8
8707.022	5128.9
8765.823	5126.5
8824.49	5139.9
8883.155	5138.5
8941.94	5127.8
9000.797	5120.2
9059.765	5111.9
9118.884	5098.6
9177.938	5104.6
9236.754	5124.8
9295.39	5142.4
9354.143	5130.5
9413.064	5115.8
9471.957	5118.4
9530.936	5109.6
9589.98	5105
9649.082	5099.1
9708.2	5099.3
9767.333	5097.9
9826.497	5093.8
9885.617	5098.6
9944.842	5089.4
10004.134	5085.2
10063.512	5076.2
10122.939	5072.3
10182.454	5065.1
10241.891	5071.7
10301.179	5084
10360.315	5097.3
10419.267	5113.2
10478.05	5128.5
10536.956	5117.2
10596.017	5103.7
10655.165	5096
10714.301	5097.3
10773.487	5094.2
10832.654	5093.8
10891.821	5093.7
10951.019	5092
11010.293	5085.4
11069.617	5080.9
11129.009	5074.2
11188.389	5075.4
11247.781	5075.9
11307.247	5069.3
11366.594	5078.8
11425.701	5099.8
11484.713	5107.9
11543.852	5096.8
11603.129	5086.5
11662.323	5091.1
11721.363	5104.5
11780.194	5123.5
11838.966	5129.1
11897.747	5128.8
11956.669	5115.8
12015.745	5102.2
12074.836	5101.3
12133.716	5120.8
12192.547	5123.8
12251.434	5119.3
12310.353	5115
12369.27	5116.7
12428.287	5108.8
12487.381	5102
12546.519	5096.9
12605.604	5101.9
12664.81	5089.9
12724.007	5092
12783.205	5092
12842.115	5118.1
12900.85	5132.6
12959.694	5122.5
13018.616	5115.8
13077.476	5121.2
13136.386	5118.3
13195.36	5111.3
13254.423	5104.7
13313.554	5096.5
13372.717	5093.7
13431.991	5085.2
13491.361	5078.4
13550.709	5079.5
13610.194	5066.1
13669.759	5060.6
13729.352	5058
13788.918	5061.7
13848.555	5054.1
13908.304	5045.7
13967.749	5072
14026.903	5096.9
14086.028	5099.4
14145.245	5091.4
14204.563	5081.5
14263.696	5097.2
14322.645	5112.4
14381.552	5117
14440.57	5108.5
14499.661	5101.1
14558.844	5092.9
14618.147	5082.8
14677.449	5083.4
14736.739	5083.2
14796.15	5073.6
14855.529	5076.2
14914.679	5095.1
14973.666	5111.5
15032.754	5101.3
15092.03	5086.3
15151.344	5082.2
15210.693	5078.9
15270.167	5069.4
15329.621	5070.3
15388.759	5097
15447.813	5103.1
15506.977	5094.6
15566.246	5086.1
15625.56	5080.7
15684.898	5081.5
15744.245	5078.1
15803.722	5069
15863.15	5072.3
15922.336	5094.2
15981.364	5106.5
16040.414	5106.6
16099.462	5106.5
16158.497	5106.6
16217.618	5098.6
16276.755	5097.3
16335.846	5097.3
16394.996	5095
16454.197	5092.8
16513.5	5082.8
16572.914	5074.6
16632.366	5070.3
16691.91	5062.5
16751.406	5066.7
16810.709	5082.8
16869.798	5101.6
16928.923	5099.8
16988.103	5093.3
17047.358	5085.9
17106.695	5081.1
